character1,character2,weight
Geralt of Rivia,Yennefer,1188
Ciri,Yennefer,909
Ciri,Geralt of Rivia,868
Geralt of Rivia,Milva,494
Cahir,Geralt of Rivia,470
Geralt of Rivia,Triss Merigold,392
Cahir,Milva,390
Ciri,Triss Merigold,347
Triss Merigold,Yennefer,331
Ciri,Kelpie,293
Geralt of Rivia,Zoltan Chivay,258
Milva,Zoltan Chivay,195
Vilgefortz,Yennefer,193
Essi Daven,Geralt of Rivia,186
Geralt of Rivia,Yarpen Zigrin,174
Geralt of Rivia,Vilgefortz,172
Philippa Eilhart,Yennefer,167
Fringilla Vigo,Geralt of Rivia,157
Braenn,Geralt of Rivia,156
Giselher,Kayleigh,149
Ciri,Vysogota,142
Calanthe,Pavetta,139
Geralt of Rivia,Pavetta,136
Geralt of Rivia,Vesemir,133
Nenneke,Yennefer,131
Geralt of Rivia,Renfri,129
Tissaia de Vries,Yennefer,127
Francesca Findabair,Yennefer,126
Ciri,Nenneke,124
Geralt of Rivia,Nenneke,123
Geralt of Rivia,Philippa Eilhart,119
Geralt of Rivia,Nivellen,117
Percival Schuttenbach,Zoltan Chivay,116
Philippa Eilhart,Sabrina Glevissig,113
Dorregaray,Yennefer,113
Geralt of Rivia,Roach,110
Ciri,Jarre,109
Geralt of Rivia,Vissegerd,105
Ciri,Fabio Sachs,105
Cahir,Ceallach,103
Cahir,Ciri,102
Lydia van Bredevoort,Vilgefortz,102
Jarre,Pike,100
Dorregaray,Geralt of Rivia,98
Ciri,Yarpen Zigrin,95
Esterad Thyssen,Zuleyka,94
Fringilla Vigo,Philippa Eilhart,94
Francesca Findabair,Philippa Eilhart,93
Ciri,Vilgefortz,91
Yarpen Zigrin,Yennefer,89
Fringilla Vigo,Yennefer,88
Geralt of Rivia,Two,88
Chireadan,Geralt of Rivia,87
Ciri,Kayleigh,85
Ciri,Skomlik,84
Falwick,Geralt of Rivia,83
Triss Merigold,Vesemir,83
Keira Metz,Sabrina Glevissig,80
Boholt,Geralt of Rivia,80
Dandelion,Geralt of Rivia,79
Cregennan,Lara Dorren,79
Calanthe,Geralt of Rivia,78
Rience,Vilgefortz,78
Ciri,Pavetta,77
Geralt of Rivia,Rience,76
Lambert,Triss Merigold,73
Nenneke,Triss Merigold,72
Ciri,Giselher,71
Boholt,Yennefer,70
Dhun,Geralt of Rivia,69
Sabrina Glevissig,Yennefer,66
Agloval,Geralt of Rivia,65
Lambert,Vesemir,65
Jarre,Lucienne,65
Condwiramurs,Nimue,65
Ciri,Vesemir,64
Philippa Eilhart,Triss Merigold,64
Tissaia de Vries,Vilgefortz,62
Francesca Findabair,Sabrina Glevissig,61
Margarita Laux-Antille,Tissaia de Vries,60
Ciri,Falka,59
Geralt of Rivia,Yurga,59
Cahir,Rience,58
Vattier de Rideaux,Vilgefortz,58
Emhyr var Emreis,Vilgefortz,57
Geralt of Rivia,Mousesack,57
Codringher,Geralt of Rivia,56
Stefan Skellen,Vattier de Rideaux,56
Ciri,Milva,55
Rience,Vattier de Rideaux,55
Keira Metz,Philippa Eilhart,54
Yarpen Zigrin,Zoltan Chivay,53
Foltest,Geralt of Rivia,53
Falka,Riannon,53
Ciri,Philippa Eilhart,52
Margarita Laux-Antille,Philippa Eilhart,52
Kayleigh,Reef,51
Margarita Laux-Antille,Yennefer,51
Geralt of Rivia,Niedamir,51
Calanthe,Ciri,51
Foltest,Henselt,50
Francesca Findabair,Vilgefortz,50
Carthia van Canten,Vattier de Rideaux,50
Braenn,Ciri,50
Remiz,Skomlik,50
